userId,objectId,rating,timestamp
3,23,4.0,4.0
3,76,3.0,3.0
3,45,4.0,4.0
3,85,4.0,4.0
3,75,5.0,5.0
3,77,2.0,2.0
3,82,1.0,1.0
3,25,2.0,2.0
3,60,3.0,3.0
3,39,3.0,3.0
3,34,3.0,3.0
3,93,3.0,3.0
3,89,2.0,2.0
3,51,1.0,1.0
3,43,1.0,1.0
3,8,2.0,2.0
3,81,5.0,5.0
3,58,5.0,5.0
3,56,2.0,2.0
3,46,4.0,4.0
3,80,1.0,1.0
3,33,1.0,1.0
4,2,2.0,2.0
4,11,5.0,5.0
4,30,5.0,5.0
4,32,1.0,1.0
4,35,3.0,3.0
4,53,5.0,5.0
4,69,5.0,5.0
4,93,3.0,3.0
4,50,3.0,3.0
4,4,1.0,1.0
4,90,4.0,4.0
4,0,5.0,5.0
4,1,2.0,2.0
4,3,2.0,2.0
4,37,5.0,5.0
4,10,3.0,3.0
4,18,2.0,2.0
4,60,4.0,4.0
4,66,4.0,4.0
4,14,4.0,4.0
4,7,3.0,3.0
4,9,3.0,3.0
4,13,2.0,2.0
4,25,4.0,4.0
4,29,1.0,1.0
4,5,3.0,3.0
4,55,5.0,5.0
4,19,5.0,5.0
4,61,1.0,1.0
4,64,1.0,1.0
4,49,1.0,1.0
4,16,2.0,2.0
4,78,1.0,1.0
4,6,5.0,5.0
4,71,2.0,2.0
4,21,3.0,3.0
4,12,4.0,4.0
4,54,2.0,2.0
4,70,1.0,1.0
4,45,4.0,4.0
4,27,3.0,3.0
4,86,1.0,1.0
4,72,2.0,2.0
4,79,3.0,3.0
4,89,5.0,5.0
4,23,4.0,4.0
4,75,5.0,5.0
4,85,4.0,4.0
4,83,3.0,3.0
4,94,2.0,2.0
4,67,4.0,4.0
4,57,1.0,1.0
4,62,4.0,4.0
4,46,3.0,3.0
4,82,1.0,1.0
4,74,5.0,5.0
4,34,3.0,3.0
4,17,2.0,2.0
4,26,1.0,1.0
4,80,2.0,2.0
4,22,4.0,4.0
4,51,1.0,1.0
4,47,1.0,1.0
4,88,4.0,4.0
4,76,3.0,3.0
4,91,5.0,5.0
4,81,5.0,5.0
4,38,4.0,4.0
4,41,1.0,1.0
4,52,2.0,2.0
4,48,2.0,2.0
5,2,2.0,2.0
5,32,2.0,2.0
5,4,1.0,1.0
5,6,5.0,5.0
5,14,3.0,3.0
5,17,4.0,4.0
5,21,5.0,5.0
5,45,3.0,3.0
5,30,5.0,5.0
5,50,3.0,3.0
5,53,5.0,5.0
5,54,1.0,1.0
5,18,2.0,2.0
